,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
4195,25,200.66,94.800728,36,2.2,1.4,0.4,-12.9,0.09,0.126,0.168,0.494,0.092
4196,24,208.28,117.93392,23,2.1,1.9,0.7,-12.6,0.087,0.145,0.158,0.411,0.138
4197,20,213.36,111.13004,47,6.4,5.6,0.2,-4.3,0.113,0.195,0.149,0.536,0.012
4198,26,200.66,88.45044,78,19.4,4.5,5.1,-1.2,0.025,0.102,0.238,0.521,0.211
4199,30,205.74,120.20188,16,0.9,1.3,0.1,-3.7,0.112,0.112,0.094,0.447,0.026
4200,31,220.98,117.93392,78,15.6,7.6,1.2,3.8,0.13,0.18,0.248,0.576,0.073
4201,23,180.34,81.64656,13,2.3,0.4,0.9,-9.7,0.02,0.038,0.186,0.417,0.2
4202,21,210.82,108.86208,81,13,6.4,1.1,-0.8,0.09,0.181,0.215,0.521,0.063
4203,27,190.5,90.7184,59,8.4,2,2.2,0.9,0.019,0.094,0.176,0.55,0.165
4204,30,193.04,90.7184,22,3.6,0.7,0.4,-4.5,0.016,0.076,0.179,0.53,0.074
4205,23,210.82,112.490816,65,12.3,5.8,0.8,-2.6,0.1,0.183,0.236,0.541,0.066
4206,26,200.66,103.418976,75,17.6,6.2,2.5,1.1,0.048,0.158,0.231,0.535,0.12
4207,22,203.2,104.32616,80,26.5,4.9,2.7,1.1,0.05,0.107,0.319,0.563,0.141
4208,23,198.12,104.32616,68,3.6,1.7,0.6,-4.8,0.044,0.145,0.188,0.483,0.105
4209,24,205.74,117.026736,33,16.3,8.6,2.7,-3.2,0.086,0.254,0.234,0.585,0.154
4210,26,187.96,91.625584,77,5.8,1.7,3,2.2,0.034,0.094,0.205,0.512,0.32
4211,30,210.82,113.398,33,1.4,1.6,0.4,-3.8,0.087,0.164,0.106,0.451,0.075
4212,34,200.66,95.25432,42,2.2,1.5,0.5,-12.5,0.047,0.11,0.128,0.412,0.074
4213,29,190.5,91.625584,81,18.5,3.1,8.6,10.5,0.016,0.088,0.231,0.602,0.392
4214,19,198.12,95.25432,23,3.4,1.7,0.7,-4.5,0.1,0.126,0.214,0.456,0.142
4215,35,200.66,90.7184,82,7.5,3.9,1.5,8.7,0.016,0.119,0.112,0.54,0.067
4216,30,205.74,120.20188,65,2.9,3.5,0.5,-10.5,0.095,0.187,0.115,0.517,0.056
4217,28,205.74,106.59412,71,2.9,1.6,0.7,-2.1,0.036,0.112,0.129,0.491,0.09
4218,34,205.74,115.212368,21,2.9,2.7,0.3,-2,0.048,0.198,0.137,0.445,0.039
4219,25,205.74,117.026736,81,7.9,3.4,0.9,3.5,0.068,0.148,0.183,0.578,0.079
4220,29,203.2,111.13004,36,3.4,1.5,0.9,6.7,0.034,0.142,0.183,0.505,0.136
4221,30,177.8,77.11064,69,12.6,3.2,8.8,-5.3,0.016,0.099,0.202,0.478,0.412
4222,34,200.66,95.25432,74,5.8,2.1,1.7,10.5,0.027,0.116,0.159,0.581,0.157
4223,26,213.36,119.294696,79,7.3,5.9,0.6,2,0.117,0.163,0.149,0.542,0.038
4224,21,203.2,108.86208,29,2.3,2.3,0.1,-9.6,0.084,0.217,0.159,0.434,0.02
4225,30,213.36,118.387512,79,15,7.8,4.7,3.5,0.05,0.194,0.189,0.576,0.205
4226,35,200.66,102.0582,1,0,1,1,60,0,0.5,0,0,0.333
4227,27,208.28,103.418976,32,5,4.8,0.2,-0.8,0.122,0.205,0.139,0.562,0.018
4228,22,208.28,104.32616,70,22.5,9.2,2.6,-1.3,0.089,0.208,0.253,0.585,0.117
4229,23,185.42,83.91452,74,8.7,3,5,-0.9,0.015,0.105,0.151,0.538,0.269
4230,28,203.2,108.86208,62,9.2,4,1.4,1.8,0.069,0.151,0.215,0.524,0.113
4231,24,205.74,95.25432,40,14,4.6,1.8,-8.9,0.023,0.14,0.256,0.48,0.106
4232,23,205.74,103.418976,78,7.5,4.9,1.2,-1.4,0.087,0.16,0.166,0.54,0.092
4233,30,203.2,117.93392,23,3.8,3.4,0.1,8.9,0.148,0.223,0.158,0.622,0.011
4234,23,190.5,83.91452,66,3.8,1.3,1.3,-1.2,0.028,0.072,0.16,0.458,0.145
4235,28,210.82,108.86208,74,5.2,3.1,0.3,-2.4,0.117,0.204,0.197,0.55,0.048
4236,27,182.88,86.18248,19,3.3,0.8,2.1,0.5,0.029,0.056,0.141,0.575,0.235
4237,32,177.8,78.925008,27,11.7,3.5,4.7,4.3,0.032,0.099,0.207,0.504,0.263
4238,29,190.5,86.18248,82,6.7,1.6,2.1,2.2,0.008,0.069,0.125,0.538,0.124
4239,26,198.12,102.0582,82,6.5,2.3,1.3,-6,0.061,0.092,0.174,0.529,0.114
4240,37,210.82,114.305184,28,0.9,1.9,0.2,-10.1,0.135,0.222,0.089,0.425,0.054
4241,25,198.12,95.25432,71,4,1.5,0.5,-6.7,0.024,0.108,0.177,0.462,0.075
4242,25,213.36,111.13004,43,1.7,1.3,0,0.1,0.103,0.18,0.169,0.538,0.014
4243,30,193.04,97.52228,79,14.8,4.3,3,2.6,0.02,0.108,0.197,0.519,0.129
4244,32,200.66,111.13004,37,3.4,1.8,0.4,5.1,0.07,0.133,0.201,0.506,0.068
4245,26,198.12,102.0582,32,17.8,5.3,2.1,7.3,0.037,0.153,0.275,0.584,0.12
4246,39,208.28,108.86208,80,6.9,3.3,1.1,0.3,0.034,0.134,0.154,0.502,0.085
4247,31,180.34,83.91452,71,9.5,1.7,2.8,0.8,0.016,0.068,0.2,0.526,0.206
4248,23,198.12,109.769264,40,3.7,4.5,0.4,9.2,0.14,0.253,0.12,0.589,0.044
4249,23,208.28,106.59412,77,8.1,5.3,0.7,0.4,0.093,0.216,0.174,0.605,0.054
4250,33,208.28,111.13004,75,20.2,9.9,3.4,-1.9,0.074,0.229,0.276,0.482,0.157
4251,21,208.28,118.387512,17,2.8,2.1,0.1,4.2,0.142,0.156,0.134,0.578,0.024
4252,21,182.88,79.3786,78,16.1,5.1,7.8,-3.9,0.025,0.147,0.22,0.546,0.378
4253,26,213.36,120.20188,59,10.2,6.3,1,1.4,0.11,0.18,0.185,0.552,0.063
4254,24,213.36,120.20188,78,11.9,9.6,1,3.7,0.09,0.242,0.181,0.57,0.05
4255,21,190.5,95.25432,7,8.9,2.6,0.7,-4.3,0.025,0.12,0.228,0.534,0.072
4256,25,205.74,100.243832,36,4.4,1.7,0.8,-1.4,0.018,0.124,0.184,0.448,0.094
4257,24,203.2,97.52228,81,13.3,6.9,6.2,9.3,0.063,0.151,0.179,0.564,0.245
4258,29,195.58,95.25432,52,13.6,7.7,2.8,3.1,0.1,0.183,0.221,0.507,0.139
4259,26,200.66,102.0582,82,13,6.1,1.4,-1.3,0.045,0.214,0.212,0.567,0.091
4260,25,205.74,102.0582,69,15.3,8,4.3,0.6,0.075,0.181,0.206,0.556,0.202
4261,25,193.04,90.7184,23,3,0.9,0.3,-10,0.054,0.062,0.203,0.421,0.079
4262,30,187.96,92.98636,82,13.7,4.3,8.2,3.1,0.038,0.1,0.202,0.532,0.355
4263,22,198.12,93.893544,82,12.3,5.9,3.1,1.2,0.045,0.136,0.147,0.598,0.126
4264,24,177.8,78.471416,19,4.6,1.3,2.7,-4.7,0.032,0.071,0.188,0.398,0.28
4265,19,210.82,106.59412,29,2.2,1.3,0.3,-2.6,0.08,0.184,0.222,0.45,0.103
4266,23,208.28,108.86208,48,4.6,4.9,0.4,8,0.114,0.244,0.139,0.541,0.04
4267,19,205.74,95.25432,3,6.7,1.3,1,-24.1,0.1,0.026,0.17,0.85,0.125
4268,23,208.28,111.13004,3,8.7,5.3,0.7,-2.3,0.113,0.208,0.277,0.42,0.063
4269,31,195.58,88.45044,1,1,3,0,-24.3,0,0.333,0.169,0.129,0
4270,36,208.28,118.387512,65,7.8,5.5,0.2,10.5,0.117,0.194,0.175,0.615,0.014
4271,31,182.88,74.84268,72,33,3.2,7.4,0.8,0.016,0.071,0.354,0.543,0.331
4272,27,193.04,88.45044,1,0,0,0,0,0,0,0,0,0
4273,23,195.58,83.91452,5,1.8,1,0.8,-44.4,0.034,0.138,0.228,0.281,0.19
4274,33,205.74,108.86208,51,2.5,2.7,0.2,-3.4,0.128,0.17,0.118,0.564,0.032
